Date,Count
1-Jan,0
2-Jan,0
3-Jan,17
4-Jan,0
5-Jan,15
6-Jan,0
7-Jan,0
8-Jan,0
9-Jan,0
10-Jan,0
11-Jan,0
12-Jan,0
13-Jan,1
14-Jan,0
15-Jan,1
16-Jan,0
17-Jan,5
18-Jan,17
19-Jan,136
20-Jan,20
21-Jan,152
22-Jan,142
23-Jan,97
24-Jan,266
25-Jan,448
26-Jan,669
27-Jan,793
28-Jan,1765
29-Jan,1475
30-Jan,1749
31-Jan,1994
1-Feb,2110
2-Feb,2603
3-Feb,2814
4-Feb,3240
5-Feb,3905
6-Feb,3749
7-Feb,3213
8-Feb,3434
9-Feb,2618
10-Feb,2987
11-Feb,2559
12-Feb,2070
13-Feb,15149
14-Feb,4213
15-Feb,2558
16-Feb,2162
17-Feb,2065
18-Feb,1995
19-Feb,1864
20-Feb,530
21-Feb,989
22-Feb,1031
23-Feb,933
24-Feb,450
25-Feb,651
26-Feb,689
27-Feb,929
28-Feb,786
29-Feb,1369
1-Mar,1186
2-Mar,919
3-Mar,732
4-Mar,661
5-Mar,646
6-Mar,732
7-Mar,704
8-Mar,492
9-Mar,364
10-Mar,242
11-Mar,385
12-Mar,313
13-Mar,237
14-Mar,339
15-Mar,328
16-Mar,477
17-Mar,687
18-Mar,466
19-Mar,714
20-Mar,791
21-Mar,857
22-Mar,1286
23-Mar,1015
24-Mar,973
25-Mar,1101
26-Mar,1066
27-Mar,1220
